425	1.94337 -1.94337 0 -0.299578
425	1.94337 -1.94337 0 -0.299581
425	1.94337 -1.94337 0 -0.299581
425	1.84395 -1.84395 0 -0.181524
425	1.84395 -1.84395 0 -0.181524
425	1.84395 -0.516951 0 -0.181524
425	1.84395 -0.516951 0 -0.181524
1161	1.56445 -0.237453 0 0.844669
1757	1.46561 -0.138606 1.41152 0.0419817
3815	1.40897 -0.081974 1.333 0.505179
7479	1.37945 -0.052454 1.34731 0.844993
13807	1.35016 -0.0231571 -2.49724 0.937179
425	1.84395 -0.516951 0 -0.181524
1161	1.56445 -0.237453 0 0.844669
1757	1.46561 -0.138606 1.41152 0.0419817
3815	1.40897 -0.081974 1.333 0.505179
7479	1.37945 -0.052454 1.34731 0.844993
13807	1.35016 -0.0231571 -2.49724 0.937179
26535	1.34495 -0.0179453 1.34382 0.927403
52743	1.34024 -0.0132394 1.29646 0.670796
105825	1.3363 -0.00929958 1.31604 0.877257
