 ********  FileScanner:: keyword 'gamma' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'shock' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'tau' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'rho' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'rhoa' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'rhow' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Cda' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Cdw' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Pstern' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'ellipse' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'C' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'deltamin' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Tref' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Lref' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'windx' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'windy' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'f' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'theta_w' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'theta_a' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'gamma' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'shock' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'tau' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'rho' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'rhoa' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'rhow' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Cda' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Cdw' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Pstern' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'ellipse' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'C' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'deltamin' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Tref' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'Lref' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'windx' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'windy' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'f' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'theta_w' found in param-file but not registered in the DataFormatHandler-code.
 ********  FileScanner:: keyword 'theta_a' found in param-file but not registered in the DataFormatHandler-code.
Newton: 4	9	3 3 3 
Newton: 5	12	3 3 3 3 
Newton: 5	12	3 3 3 3 
Newton: 7	18	3 3 3 3 3 3 
Newton: 6	15	3 3 3 3 3 
Newton: 9	40	4 5 5 5 5 5 6 5 
Newton: 10	54	6 5 6 6 6 7 6 6 6 
Newton: 9	52	6 6 6 6 7 7 7 7 
Newton: 8	47	6 6 7 7 7 7 7 
Newton: 8	51	6 7 7 7 7 8 9 
Newton: 9	55	6 7 7 7 6 6 7 9 
Newton: 77	412	7 7 5 5 6 5 5 6 7 5 5 5 6 5 4 4 4 5 4 5 6 6 5 5 4 5 5 5 6 5 5 5 5 5 6 5 5 5 6 4 5 6 5 5 5 5 5 5 5 5 6 5 6 6 6 6 6 5 5 5 4 5 5 5 5 6 6 6 6 7 6 6 7 6 7 10 
Newton: 10	65	7 7 7 7 7 7 7 8 8 
Newton: 7	42	6 6 7 7 8 8 
Newton: 9	58	6 6 7 7 7 7 9 9 
Newton: 8	51	6 6 7 7 7 9 9 
Newton: 7	46	6 6 7 8 9 10 
Newton: 7	50	7 8 9 9 8 9 
Newton: 7	50	7 7 8 10 9 9 
Newton: 6	38	7 6 9 8 8 
Newton: 6	37	7 6 8 7 9 
Newton: 6	37	7 7 7 7 9 
Newton: 7	48	8 7 7 8 9 9 
Newton: 9	63	8 8 8 7 8 8 8 8 
Newton: 8	58	8 7 8 8 8 9 10 
Newton: 8	60	8 8 8 8 8 11 9 
Newton: 7	49	8 8 9 8 7 9 
Newton: 6	44	9 9 10 8 8 
Newton: 6	48	10 10 11 8 9 
Newton: 6	48	10 10 11 8 9 
Newton: 6	48	10 10 10 9 9 
Newton: 5	39	10 10 9 10 
Newton: 5	40	10 10 10 10 
Newton: 5	38	10 10 9 9 
Newton: 5	38	11 9 9 9 
Newton: 6	48	11 10 9 9 9 
Newton: 8	56	10 7 6 7 8 9 9 
Newton: 7	58	10 9 9 10 10 10 
Newton: 6	52	11 10 10 11 10 
Newton: 6	55	11 11 11 12 10 
Newton: 6	49	9 9 9 12 10 
Newton: 7	66	9 10 10 11 13 13 
Newton: 6	50	9 10 10 10 11 
Newton: 6	56	10 10 10 14 12 
Newton: 7	68	11 11 12 11 12 11 
Newton: 6	56	11 11 12 11 11 
Newton: 6	54	11 10 11 11 11 
Newton: 6	51	10 10 11 10 10 
Newton: 7	63	10 10 10 11 10 12 
Newton: 7	65	10 11 10 12 12 10 
Newton: 7	64	11 9 11 10 12 11 
Newton: 7	62	11 9 11 9 10 12 
Newton: 8	75	11 10 10 9 11 12 12 
Newton: 8	73	11 10 10 9 10 12 11 
Newton: 8	74	11 10 10 10 10 11 12 
Newton: 9	87	11 11 10 11 10 11 12 11 
Newton: 8	72	10 10 10 10 10 12 10 
Newton: 8	73	10 8 10 11 11 12 11 
Newton: 8	74	10 8 10 12 11 12 11 
Newton: 8	74	10 8 10 12 11 12 11 
Newton: 8	70	10 8 10 10 10 11 11 
Newton: 8	75	10 9 10 12 11 12 11 
Newton: 8	71	10 9 9 10 10 11 12 
Newton: 8	71	10 9 8 10 11 12 11 
Newton: 7	65	10 9 11 12 12 11 
Newton: 7	63	10 9 10 11 12 11 
Newton: 7	64	10 10 10 12 11 11 
Newton: 7	64	10 10 11 9 11 13 
Newton: 7	61	10 8 10 11 10 12 
Newton: 7	66	10 10 11 12 11 12 
Newton: 7	64	10 10 10 12 11 11 
Newton: 7	66	10 10 12 13 10 11 
Newton: 7	64	10 10 11 10 12 11 
Newton: 7	67	10 10 11 13 11 12 
Newton: 7	62	10 10 10 12 10 10 
Newton: 6	52	10 10 11 10 11 
Newton: 6	52	10 10 10 12 10 
Newton: 6	56	10 10 11 13 12 
Newton: 6	56	10 10 11 12 13 
Newton: 6	57	10 10 12 13 12 
Newton: 6	53	10 9 11 11 12 
Newton: 6	54	9 11 10 12 12 
Newton: 6	53	10 10 11 10 12 
Newton: 6	51	10 10 11 10 10 
Newton: 6	56	10 11 11 13 11 
Newton: 5	45	10 11 11 13 
Newton: 5	44	10 11 10 13 
Newton: 5	44	10 11 10 13 
Newton: 5	45	10 10 12 13 
Newton: 5	43	10 10 11 12 
Newton: 5	42	9 10 10 13 
Newton: 6	56	9 10 12 13 12 
Newton: 5	44	9 10 12 13 
Newton: 5	44	9 10 12 13 
Newton: 8	70	9 9 9 10 11 11 11 
Newton: 6	53	9 10 10 13 11 
Newton: 5	44	9 10 12 13 
Newton: 5	44	9 10 13 12 
Newton: 5	44	9 10 13 12 
Newton: 5	45	9 10 13 13 
Newton: 6	55	8 10 12 13 12 
Newton: 5	42	8 9 12 13 
Newton: 6	55	8 9 13 13 12 
Newton: 6	55	8 8 14 12 13 
Newton: 6	55	7 9 14 12 13 
Newton: 6	53	7 8 13 13 12 
Newton: 6	52	7 8 13 12 12 
Newton: 6	47	7 8 11 10 11 
Newton: 6	50	7 8 12 12 11 
Newton: 5	40	7 8 13 12 
Newton: 6	48	8 8 11 11 10 
Newton: 5	38	8 8 11 11 
Newton: 6	49	8 9 11 11 10 
Newton: 6	49	8 9 11 11 10 
Newton: 6	48	8 9 11 11 9 
Newton: 5	36	8 9 9 10 
Newton: 6	47	8 8 11 11 9 
Newton: 6	47	8 8 11 11 9 
Newton: 6	48	8 9 11 10 10 
Newton: 5	37	8 8 11 10 
Newton: 6	47	8 8 11 11 9 
Newton: 7	58	8 10 10 10 10 10 
Newton: 6	48	8 10 11 10 9 
Newton: 5	39	8 10 11 10 
Newton: 7	54	8 9 9 9 9 10 
Newton: 6	47	8 9 11 10 9 
Newton: 6	47	8 9 11 10 9 
Newton: 6	47	8 10 11 10 8 
Newton: 7	55	8 9 10 9 9 10 
Newton: 6	47	8 10 11 10 8 
Newton: 6	48	8 11 11 9 9 
Newton: 7	57	8 11 11 9 9 9 
Newton: 6	48	9 10 10 10 9 
Newton: 6	46	8 9 11 10 8 
Newton: 6	44	9 8 8 10 9 
Newton: 7	46	9 4 5 8 10 10 
Newton: 6	44	7 9 9 9 10 
Newton: 6	46	8 9 10 10 9 
Newton: 6	47	9 10 10 9 9 
Newton: 7	56	9 10 10 9 9 9 
Newton: 6	48	9 10 10 10 9 
Newton: 6	50	10 10 11 9 10 
Newton: 6	47	9 10 9 9 10 
Newton: 6	47	9 10 9 10 9 
Newton: 7	57	9 10 9 10 9 10 
Newton: 6	49	9 10 10 10 10 
Newton: 6	48	9 10 10 9 10 
Newton: 6	48	9 9 10 10 10 
Newton: 7	57	9 10 10 9 10 9 
Newton: 6	50	10 10 10 10 10 
Newton: 6	50	10 10 10 10 10 
Newton: 6	50	10 10 10 10 10 
Newton: 6	50	10 10 10 10 10 
Newton: 6	51	10 10 11 10 10 
Newton: 7	58	9 10 9 10 10 10 
Newton: 6	49	9 10 10 10 10 
Newton: 6	49	9 10 10 10 10 
Newton: 5	40	9 10 10 11 
Newton: 6	49	9 10 10 10 10 
Newton: 7	58	9 10 10 10 10 9 
Newton: 6	51	9 10 10 11 11 
Newton: 6	53	10 11 11 11 10 
Newton: 6	52	9 10 11 11 11 
Newton: 7	63	10 11 10 11 11 10 
Newton: 5	43	10 11 11 11 
Newton: 7	61	9 11 10 10 11 10 
Newton: 6	52	9 11 10 11 11 
Newton: 6	51	9 11 10 11 10 
Newton: 6	49	9 11 9 11 9 
Newton: 7	61	9 12 10 11 10 9 
Newton: 6	51	9 11 10 11 10 
Newton: 6	49	9 10 9 11 10 
Newton: 7	61	9 11 10 11 10 10 
Newton: 6	53	9 12 10 12 10 
Newton: 6	53	9 12 10 11 11 
Newton: 7	63	9 11 10 11 11 11 
Newton: 6	52	10 10 9 12 11 
Newton: 5	42	10 10 10 12 
Newton: 6	55	10 11 11 12 11 
Newton: 7	63	9 10 10 12 11 11 
Newton: 6	52	9 9 11 12 11 
Newton: 5	41	9 9 11 12 
Newton: 7	62	9 10 11 11 10 11 
Newton: 7	63	9 10 10 12 11 11 
Newton: 6	54	9 11 11 12 11 
Newton: 7	64	9 11 10 12 11 11 
Newton: 7	61	9 11 8 11 11 11 
Newton: 6	42	9 7 6 8 12 
Newton: 6	53	9 11 10 12 11 
Newton: 6	53	9 11 10 12 11 
Newton: 7	62	9 11 10 11 10 11 
Newton: 6	55	9 12 11 12 11 
Newton: 6	56	10 12 11 12 11 
Newton: 6	55	9 12 11 12 11 
Newton: 7	65	10 12 11 11 10 11 
Newton: 6	54	10 11 11 11 11 
Newton: 5	45	11 12 11 11 
Newton: 5	45	11 12 11 11 
Newton: 7	67	11 12 11 11 11 11 
Newton: 6	57	11 12 12 11 11 
Newton: 5	45	11 12 11 11 
Newton: 5	45	11 12 11 11 
Newton: 7	65	11 11 10 10 11 12 
Newton: 6	50	11 11 7 10 11 
Newton: 5	45	10 12 12 11 
Newton: 5	43	10 11 12 10 
Newton: 6	54	9 12 11 10 12 
Newton: 6	54	10 11 10 11 12 
Newton: 5	45	10 12 12 11 
Newton: 6	56	10 12 11 11 12 
Newton: 6	55	10 11 11 11 12 
Newton: 7	63	9 11 9 11 11 12 
Newton: 6	54	9 11 11 11 12 
Newton: 6	50	9 9 8 12 12 
Newton: 5	44	10 12 11 11 
Newton: 7	64	10 11 9 11 11 12 
Newton: 6	56	10 12 11 11 12 
Newton: 6	56	10 12 11 11 12 
Newton: 6	56	10 12 11 11 12 
Newton: 6	55	10 12 10 11 12 
Newton: 6	55	9 12 11 11 12 
Newton: 6	56	10 12 11 11 12 
Newton: 5	44	10 12 11 11 
Newton: 5	42	10 12 9 11 
Newton: 7	67	10 10 11 12 12 12 
Newton: 6	55	10 11 11 11 12 
Newton: 6	56	10 12 11 11 12 
Newton: 6	56	11 11 11 11 12 
Newton: 6	55	10 12 11 11 11 
Newton: 6	56	10 12 11 11 12 
Newton: 5	44	10 12 11 11 
Newton: 7	67	10 12 11 11 11 12 
Newton: 6	56	10 12 11 11 12 
Newton: 6	56	10 12 11 11 12 
Newton: 6	55	10 12 11 11 11 
Newton: 6	55	10 12 11 11 11 
Newton: 5	43	10 11 10 12 
Newton: 6	55	10 12 11 11 11 
Newton: 6	55	10 12 11 11 11 
Newton: 7	67	10 12 11 11 11 12 
Newton: 6	54	10 12 10 11 11 
Newton: 6	55	10 12 11 10 12 
Newton: 6	55	10 12 11 10 12 
Newton: 6	54	10 12 10 11 11 
Newton: 6	53	9 11 11 11 11 
Newton: 7	51	9 12 7 7 7 9 
Newton: 6	53	10 11 10 11 11 
Newton: 6	53	9 12 11 10 11 
Newton: 5	42	9 12 11 10 
Newton: 6	53	9 12 11 10 11 
Newton: 6	53	10 12 10 10 11 
Newton: 6	53	10 11 10 11 11 
Newton: 6	53	10 11 10 11 11 
Newton: 5	41	10 11 9 11 
Newton: 5	42	10 12 10 10 
Newton: 6	53	10 11 10 11 11 
Newton: 6	53	10 12 10 10 11 
Newton: 5	42	10 11 10 11 
Newton: 7	63	10 10 10 11 11 11 
Newton: 6	51	9 11 9 11 11 
Newton: 6	52	9 12 11 9 11 
Newton: 6	53	9 12 11 10 11 
Newton: 5	43	9 12 11 11 
Newton: 6	53	9 12 11 10 11 
Newton: 6	53	9 12 11 10 11 
Newton: 6	55	9 13 11 11 11 
Newton: 6	55	9 13 11 11 11 
Newton: 6	54	9 13 10 10 12 
Newton: 7	67	9 12 11 12 11 12 
Newton: 7	71	10 13 12 12 12 12 
Newton: 6	57	9 12 11 13 12 
Newton: 6	55	9 13 12 10 11 
Newton: 6	60	9 13 13 13 12 
Newton: 6	59	9 13 12 13 12 
Newton: 6	59	9 13 12 13 12 
Newton: 6	57	9 13 11 12 12 
Newton: 6	56	9 13 11 11 12 
Newton: 6	59	9 13 12 13 12 
Newton: 6	58	9 13 11 13 12 
Newton: 6	57	9 13 11 12 12 
Newton: 6	57	9 13 11 13 11 
Newton: 6	60	9 14 12 13 12 
Newton: 6	60	9 14 12 13 12 
Newton: 6	59	9 13 12 13 12 
Newton: 6	59	9 13 12 13 12 
Newton: 6	59	9 13 12 13 12 
Newton: 5	47	9 13 12 13 
Newton: 6	59	9 13 12 14 11 
Newton: 6	57	10 12 12 12 11 
Newton: 6	59	10 12 12 13 12 
Newton: 6	59	10 12 12 13 12 
Newton: 6	60	10 13 12 13 12 
Newton: 6	58	10 13 11 12 12 
Newton: 6	60	11 12 12 13 12 
Newton: 6	60	11 13 11 12 13 
Newton: 6	61	12 13 12 12 12 
Newton: 6	62	12 13 12 13 12 
Newton: 6	57	11 13 10 12 11 
Newton: 6	56	11 10 12 10 13 
Newton: 6	60	12 13 11 12 12 
Newton: 6	59	12 12 11 12 12 
Newton: 6	59	12 12 12 10 13 
Newton: 6	59	9 11 14 11 14 
Newton: 6	58	10 11 13 12 12 
Newton: 6	51	11 9 10 10 11 
Newton: 6	54	11 11 10 11 11 
Newton: 6	56	11 11 11 12 11 
Newton: 6	52	10 9 9 13 11 
Newton: 7	50	9 10 5 8 9 9 
Newton: 7	56	9 10 9 10 9 9 
Newton: 6	54	10 11 10 12 11 
Newton: 6	53	10 11 10 11 11 
Newton: 6	53	10 11 10 11 11 
Newton: 7	64	10 10 9 12 11 12 
Newton: 6	53	10 11 10 12 10 
Newton: 6	47	10 10 8 10 9 
Newton: 7	60	10 10 9 10 10 11 
Newton: 6	49	10 9 9 11 10 
Newton: 6	53	10 11 10 12 10 
Newton: 7	64	10 11 10 11 11 11 
Newton: 6	53	10 11 10 11 11 
Newton: 6	49	10 10 9 10 10 
Newton: 6	53	10 11 10 11 11 
Newton: 6	52	10 11 10 11 10 
Newton: 6	53	11 11 10 11 10 
Newton: 6	51	10 11 9 10 11 
Newton: 7	63	10 12 9 11 10 11 
Newton: 6	52	10 12 9 11 10 
Newton: 6	51	10 11 9 11 10 
Newton: 6	51	10 11 9 11 10 
Newton: 6	51	10 11 9 11 10 
Newton: 6	50	10 11 9 11 9 
Newton: 6	50	10 11 9 11 9 
Newton: 7	60	10 10 9 10 10 11 
Newton: 6	49	10 11 9 10 9 
Newton: 6	50	10 11 9 11 9 
Newton: 6	49	10 11 8 11 9 
Newton: 6	50	10 11 9 11 9 
Newton: 6	49	10 11 8 11 9 
Newton: 6	49	10 11 8 11 9 
Newton: 7	59	10 10 11 9 10 9 
Newton: 6	47	9 11 8 10 9 
Newton: 6	47	9 11 8 10 9 
Newton: 7	56	10 9 7 11 9 10 
Newton: 6	50	9 11 9 11 10 
Newton: 6	48	9 12 8 10 9 
Newton: 8	67	10 10 11 8 8 10 10 
Newton: 7	58	9 10 10 11 10 8 
Newton: 6	49	9 10 9 11 10 
Newton: 5	40	9 11 9 11 
Newton: 6	44	9 11 6 10 8 
Newton: 6	52	9 12 9 12 10 
Newton: 7	63	9 12 9 12 10 11 
Newton: 7	63	10 12 10 11 10 10 
Newton: 7	64	10 12 10 11 10 11 
Newton: 7	65	11 11 9 12 11 11 
Newton: 5	45	11 12 11 11 
Newton: 6	58	11 13 11 12 11 
Newton: 6	58	12 13 10 12 11 
Newton: 6	57	11 12 11 12 11 
Newton: 7	68	11 13 11 11 11 11 
Newton: 7	67	10 12 11 11 11 12 
Newton: 7	62	10 11 9 11 10 11 
Newton: 6	55	10 11 11 12 11 
Newton: 6	57	11 12 11 12 11 
Newton: 6	57	11 12 11 12 11 
Newton: 6	56	10 12 11 12 11 
Newton: 6	54	11 12 9 11 11 
Newton: 7	66	10 12 10 11 11 12 
Newton: 6	46	10 8 8 11 9 
Newton: 6	54	10 12 11 9 12 
Newton: 7	64	10 12 11 9 12 10 
Newton: 6	55	10 12 11 11 11 
Newton: 5	45	10 12 11 12 
Newton: 6	56	10 12 11 12 11 
Newton: 6	57	11 12 11 12 11 
Newton: 7	61	11 12 8 10 8 12 
Newton: 7	66	11 10 11 12 10 12 
Newton: 6	57	11 12 11 12 11 
Newton: 6	57	11 12 11 12 11 
Newton: 7	62	11 10 8 12 10 11 
Newton: 7	50	9 7 5 6 11 12 
Newton: 6	48	11 8 6 11 12 
Newton: 7	63	11 11 11 9 10 11 
Newton: 6	45	11 9 6 9 10 
Newton: 6	58	11 12 12 11 12 
Newton: 5	46	11 12 12 11 
Newton: 5	43	11 12 9 11 
Newton: 6	52	12 10 8 10 12 
Newton: 6	58	11 11 11 12 13 
Newton: 7	66	10 12 11 11 10 12 
Newton: 6	56	10 11 11 12 12 
Newton: 6	55	11 10 10 12 12 
Newton: 6	56	11 10 11 12 12 
Newton: 5	47	10 12 12 13 
Newton: 5	46	11 11 11 13 
Newton: 6	60	10 13 12 12 13 
Newton: 6	59	11 12 12 12 12 
Newton: 6	58	10 13 11 12 12 
Newton: 6	60	10 13 12 12 13 
Newton: 6	59	10 12 13 11 13 
Newton: 6	60	10 13 12 12 13 
Newton: 6	61	11 12 13 12 13 
Newton: 7	69	10 12 11 13 11 12 
Newton: 7	66	10 12 9 10 12 13 
Newton: 6	61	11 12 13 13 12 
Newton: 6	60	11 12 13 13 11 
Newton: 6	60	11 12 13 12 12 
Newton: 7	57	10 11 7 9 10 10 
Newton: 6	52	11 9 9 10 13 
Newton: 7	61	10 11 10 8 12 10 
Newton: 6	57	10 12 11 12 12 
Newton: 5	46	10 12 12 12 
Newton: 6	56	10 13 11 10 12 
Newton: 5	45	10 12 11 12 
Newton: 6	56	10 12 11 12 11 
